Énergie;Alimentaire;Commodités;Consommation;Technologie;Finance
PAA;DD;AA;UA;AAPL;BAC
ATW;ADM;MT;ANF;GOOGL;AB
APA;AGU;ABX;AVP;AMZN;AMP
APC;ALG;AEM;AEO;TWTR;AMG
AR;ANFI;APD;AHC;AYI;ARES
AMID;AGCO;AKS;ETH;APH;ASA
ALDW;SYT;AG;GIL;AT;APAM
AM;AVD;ATI;BBY;LNT;BX
AAV;BETR;AUY;LB;AVX;BLK
NOA;CGA;ASH;BKE;BCE;BK
ARCX;AGRO;AU;CBK;CBB;BEN
NADL;BG;ACH;SPB;BKH;BMO
BCEI;CBD;RS;FBHS;EBR;STI
BPT;IBA;WMS;BBW;VZ;TD
BBG;NGVC;AIN;BOOT;SO;RY
BRS;CAT;AGI;PG;ED;CM
BPL;DE;RYAM;CL;SNE;STL
BAS;MOS;BRSS;KMB;DUK;BNS
BSM;MON;BAK;WHR;PPL;IBN
BTE;KR;BIOA;GME;CTL;BAP
BWP;POT;X;EL;GLW;GWB
BXE;CF;DOW;VFC;FE;BSAC
CHK;SYY;NEM;NYT;ETR;OFG
CHKR;TNH;SCCO;COH;PCG;FRC
CIE;MTW;NUE;RL;DTE;C
PBR-A;TEX;HL;TIF;SCG;JPM
CLR;SMG;HUN;PVH;CMS;WFC
HAL;LNN;EMN;MDP;TEL;STT
CNQ;UAN;CX;GCI;PNW;KKR
VLO;CNHI;FMC;TRI;OGE;SCHW
CNX;FDP;EGO;DECK;KODK;OAK
COG;PF;CDE;CHS;EE;LUK
MPC;SFS;HMY;ELY;KEP;SF
WMB;POST;CE;CRI;SPA;EV
COP;SVU;TMST;UNF;LPL;CMA
CPE;TWI;KGC;MNI;CEL;PJC
CPG;IPI;IAG;VNCE;CPN;CNS
NE;WMK;CMC;CATO;EDN;GHL